Technology,Keywords
vision exam,['vision exam']
flowmeter,['flowmeter']
ocular surgery,['ocular surgery']
vision navigation,['vision navigation']
gps-degraded navigation,['gps-degraded navigation']
ammps,['ammps']
battlefield airmen augmented reality system,['battlefield airmen augmented reality system']
battlefield airmen augmented reality system baars,['battlefield airmen augmented reality system baars']
fuzzy control systems,['fuzzy control systems']
intercommunication data rate,['intercommunication data rate']
aircrew vision standards,['aircrew vision standards']
vision screening,['vision screening']
fiducial marker,['fiducial marker']
conformable,['conformable']
field-of-view,['field-of-view']
visor optics,['visor optics']
avionics display,['avionics display']
multi-channel,['multi-channel']
multiple decoys,['multiple decoys']
orthogonal frequency division multiplexing (ofdm),['orthogonal frequency division multiplexing (ofdm)']
precision tracking,['precision tracking']
preparation,['preparation']
propellant actuated devices,['propellant actuated devices']
retina scanning,['retina scanning']
dnvg,['dnvg']
vis/swir,['vis/swir']
visual analytic data transformation,['visual analytic data transformation']
dismounted operations,['dismounted operations']
hybrid analysis,['hybrid analysis']
4d scene visualization,['4d scene visualization']
visual analytics.,['visual analytics.']
deep convolutional neural nets,['deep convolutional neural nets']
robust 3d processing,['robust 3d processing']
automated optimal team composition,['automated optimal team composition']
big data analysis,['big data analysis']
brush cd,['brush cd']
build standardization,['build standardization']
capturing expert knowledge,['capturing expert knowledge']
collision detection,['collision detection']
comparative analysis,['comparative analysis']
computational structural mechanics (csm),['computational structural mechanics (csm)']
continuous sensor-based monitoring,['continuous sensor-based monitoring']
critical information,['critical information']
cyber incident handling,['cyber incident handling']
data network,['data network']
data overload,['data overload']
decision support capability,['decision support capability']
deep learning paradigm,['deep learning paradigm']
dendrites,['dendrites']
dynamic bayesian network (dbn) for skill assessment,['dynamic bayesian network (dbn) for skill assessment']
dynamic network analysis,['dynamic network analysis']
electromagnetic fields,['electromagnetic fields']
emergent behaviors,['emergent behaviors']
force fitness instructor,['force fitness instructor']
goal directed task analysis,['goal directed task analysis']
grey water reuse,['grey water reuse']
human-computer interface (hci),['human-computer interface (hci)']
hybrid reality environments,['hybrid reality environments']
intensive care unit,['intensive care unit']
item response theory,['item response theory']
lead-acid battery,['lead-acid battery']
medical and paramedical training,['medical and paramedical training']
monte-carlo simulations,['monte-carlo simulations']
multi-dimensional visualization,['multi-dimensional visualization']
multimodal inputs,['multimodal inputs']
multimodal interactions,['multimodal interactions']
perceived risk assessment,['perceived risk assessment']
perception and cognition,['perception and cognition']
personal cooling,['personal cooling']
physiological events,['physiological events']
physiological signals,['physiological signals']
preventing exfoliation corrosion,['preventing exfoliation corrosion']
relational types,['relational types']
relevance vector machines,['relevance vector machines']
routing algorithms,['routing algorithms']
social network analysis latent variable analysis,['social network analysis latent variable analysis']
speckle imaging,['speckle imaging']
spine health,['spine health']
synthetic network and graph data,['synthetic network and graph data']
tcp optimization,['tcp optimization']
tire testing,['tire testing']
transmission line power combiners,['transmission line power combiners']
turbulent mixing noise,['turbulent mixing noise']
uncertainty assessment,['uncertainty assessment']
unmanned autonomous systems,['unmanned autonomous systems']
unobtrusive measurement,['unobtrusive measurement']
vulnerability correlation,['vulnerability correlation']
warehouse,['warehouse']
allotropes,['allotropes']
visual and ir imaging,['visual and ir imaging']
band gaps,['band gaps']
build distortion,['build distortion']
cellular automata,['cellular automata']
complex tumble,['complex tumble']
control and verification,['control and verification']
defect mitigation,['defect mitigation']
mitigate defects,['mitigate defects']
powder bed process,['powder bed process']
quarter wave plate,['quarter wave plate']
visualattention,['visualattention']
online matrix completion,['online matrix completion']
statistical relationship learning,['statistical relationship learning']
visual attention,['visual attention']
computational models,['computational models']
convolutional networks,['convolutional networks']
decentralized algorithms,['decentralized algorithms']
distributed surveillance,['distributed surveillance']
mobile computing platform,['mobile computing platform']
robot navigation,['robot navigation']
target hand-off,['target hand-off']
visual control,['visual control']
autonomous mission composition,['autonomous mission composition']
body worn sensors,['body worn sensors']
church language,['church language']
data set reconciliation,['data set reconciliation']
dead-reckoning,['dead-reckoning']
dialogue,['dialogue']
direct mapping method (dmm),['direct mapping method (dmm)']
emissions control,['emissions control']
genetics based rule learning,['genetics based rule learning']
grey zone warfare,['grey zone warfare']
low-light/no-light navigation,['low-light/no-light navigation']
medium earth orbit satellites,['medium earth orbit satellites']
multisensor-multitarget estimation,['multisensor-multitarget estimation']
multitarget tracking,['multitarget tracking']
ospf,['ospf']
story understanding,['story understanding']
tactical importance function (tif),['tactical importance function (tif)']
volumetric sar,['volumetric sar']
visual display,['visual display']
asw training,['asw training']
design thinking,['design thinking']
ecsort,['ecsort']
embedded software,['embedded software']
enclave,['enclave']
f-22,['f-22']
fps,['fps']
global visualization,['global visualization']
immersive,['immersive']
multi-attribute decision making,['multi-attribute decision making']
multi-media,['multi-media']
next generation architecture,['next generation architecture']
ngen,['ngen']
photogrammetric,['photogrammetric']
trilogy,['trilogy']
visual displays,['visual displays']
b-52,['b-52']
backscattering amplification effect,['backscattering amplification effect']
data transfer through metal wall,['data transfer through metal wall']
disdrometer,['disdrometer']
ellipsoidal visor optics,['ellipsoidal visor optics']
instrument sterilization,['instrument sterilization']
miniature monostatic radar,['miniature monostatic radar']
vdt,['vdt']
weather data integration,['weather data integration']
visual feature,['visual feature']
as the exploitation process is very manually intensive. instead,['as the exploitation process is very manually intensive. instead']
